( 0,  0,  6) -> ( 1,  0,  6)
(19, 22, 404, 343) (18, 26, 406, 346) 7097
(17, 21, 560, 291) (27, 24, 558, 270) 7651
(60, 30, 371, 285) (62, 31, 372, 287) 32759
(23, 25, 402, 263) (25, 26, 404, 264) 7215
(60, 52, 371, 263) (62, 54, 372, 264) 40355
(21, 25, 320, 231) (22, 26, 320, 231) 6589
(12, 24, 32, 231) (18, 15, 233, 326) 15939
(18, 67, 29, 188) (17, 72, 11, 184) 17896

( 0,  0,  6) -> ( 2,  0,  6)
(19, 22, 404, 343) (19, 23, 408, 351) 6120
(17, 21, 560, 291) (33, 47, 563, 276) 14847
(17, 22, 548, 287) (18, 33, 577, 280) 9853
(60, 30, 371, 285) (64, 32, 373, 288) 28040
(18, 24, 550, 271) (18, 29, 566, 276) 7996
(23, 25, 402, 263) (23, 26, 406, 265) 7039
(60, 52, 371, 263) (64, 55, 373, 265) 28791
(21, 25, 320, 231) (23, 25, 319, 232) 10293
(12, 24, 32, 231) (30, 11, 345, 318) 19475
(17, 43, 30, 211) (19, 16, 231, 329) 25822
(17, 28, 29, 188) (21, 16, 229, 329) 19894

( 0,  0,  6) -> ( 3,  0,  6)
(19, 22, 404, 343) (20, 27, 406, 350) 7182
(17, 21, 560, 291) (29, 20, 561, 305) 6819
(17, 22, 548, 287) (22, 33, 578, 269) 11103
(60, 30, 371, 285) (67, 35, 368, 287) 28426
(18, 24, 550, 271) (16, 16, 581, 299) 7730
(45, 55, 534, 267) (40, 59, 560, 269) 33894
(23, 25, 402, 263) (26, 24, 403, 267) 8162
(60, 52, 371, 263) (67, 55, 368, 267) 50828
(21, 25, 320, 231) (23, 27, 314, 229) 5596
(12, 24, 32, 231) (21, 14, 221, 332) 17190

( 0,  0,  6) -> ( 4,  0,  6)
(18, 67, 29, 188) (21, 24, 409, 352) 42652
(18, 24, 550, 271) (25, 18, 103, 347) 9732
(17, 28, 29, 188) (22, 16, 219, 334) 19547
(17, 22, 548, 287) (28, 20, 569, 316) 9425
(19, 22, 404, 343) (12, 23, 599, 293) 13976
(60, 30, 371, 285) (69, 35, 372, 287) 26680
(45, 55, 534, 267) (17, 25, 587, 286) 20541
(12, 24, 32, 231) (18, 17, 579, 281) 22398
(17, 43, 30, 211) (18, 25, 595, 272) 35972
(17, 21, 560, 291) (38, 44, 575, 272) 11294
(23, 25, 402, 263) (23, 23, 408, 268) 13526
(60, 52, 371, 263) (69, 54, 372, 268) 62078
(21, 25, 320, 231) (22, 28, 317, 227) 7120

( 0,  0,  6) -> ( 5,  0,  6)
(19, 22, 404, 343) (21, 24, 414, 355) 6600
(12, 24, 32, 231) (22, 16, 216, 337) 17645
(18, 67, 29, 188) (20, 13, 344, 321) 44690
(17, 22, 548, 287) (21, 14, 581, 316) 7136
(17, 28, 29, 188) (14, 20, 593, 309) 28163
(45, 55, 534, 267) (13, 26, 600, 294) 26137
(17, 43, 30, 211) (17, 18, 605, 287) 31759
(60, 30, 371, 285) (71, 35, 374, 287) 30633
(18, 24, 550, 271) (19, 19, 589, 277) 6113
(17, 21, 560, 291) (23, 27, 601, 268) 8995
(23, 25, 402, 263) (24, 29, 411, 262) 12451
(60, 52, 371, 263) (71, 60, 374, 262) 33179
(21, 25, 320, 231) (24, 28, 317, 226) 6467

( 0,  0,  6) -> ( 6,  0,  6)
(19, 22, 404, 343) (18, 22, 322, 401) 10451
(18, 67, 29, 188) (21, 23, 417, 360) 37369
(17, 22, 548, 287) (17, 18, 38, 356) 8268
(17, 28, 29, 188) (23, 17, 212, 341) 24545
(12, 24, 32, 231) (18, 17, 593, 314) 19746
(18, 24, 550, 271) (18, 15, 600, 296) 7957
(45, 55, 534, 267) (22, 34, 613, 291) 25804
(60, 30, 371, 285) (72, 36, 378, 289) 39009
(17, 21, 560, 291) (19, 26, 601, 277) 6679
(17, 43, 30, 211) (15, 19, 617, 267) 30343
