( 0,  0,  6) -> ( 0,  1,  6)
(19, 22, 404, 343) (16, 24, 556, 274) 15675
(17, 21, 560, 291) (30, 44, 542, 274) 16614
(17, 22, 548, 287) (35, 16, 95, 335) 11254
(60, 30, 371, 285) (61, 33, 363, 285) 37745
(18, 24, 550, 271) (53, 16, 88, 335) 18656
(45, 55, 534, 267) (21, 18, 548, 293) 24675
(23, 25, 402, 263) (21, 24, 394, 265) 7922
(60, 52, 371, 263) (61, 57, 363, 265) 61895
(21, 25, 320, 231) (22, 22, 310, 235) 5088
(12, 24, 32, 231) (21, 15, 88, 335) 24472
(17, 43, 30, 211) (14, 25, 542, 288) 36588
(17, 28, 29, 188) (19, 23, 395, 346) 22621

( 0,  0,  6) -> ( 0,  2,  6)
(19, 22, 404, 343) (24, 34, 182, 278) 22202
(17, 21, 560, 291) (55, 22, 168, 326) 24872
(17, 22, 548, 287) (26, 55, 522, 274) 18973
(60, 30, 371, 285) (60, 32, 352, 287) 31730
(18, 24, 550, 271) (16, 21, 530, 274) 4125
(45, 55, 534, 267) (25, 13, 523, 312) 25991
(23, 25, 402, 263) (21, 27, 383, 263) 10962
(60, 52, 371, 263) (60, 56, 352, 263) 37495
(21, 25, 320, 231) (21, 23, 299, 234) 8267
(12, 24, 32, 231) (34, 11, 170, 336) 30363
(17, 43, 30, 211) (14, 25, 543, 290) 29639
(17, 28, 29, 188) (21, 14, 202, 326) 19391
(18, 67, 29, 188) (19, 23, 384, 347) 45846

( 0,  0,  6) -> ( 0,  3,  6)
(19, 22, 404, 343) (19, 24, 375, 349) 8373
(17, 21, 560, 291) (18, 27, 519, 275) 8919
(17, 22, 548, 287) (35, 17, 41, 337) 12208
(60, 30, 371, 285) (62, 35, 341, 288) 38200
(18, 24, 550, 271) (33, 15, 61, 338) 11431
(45, 55, 534, 267) (28, 41, 519, 271) 33093
(23, 25, 402, 263) (21, 26, 372, 265) 11887
(60, 52, 371, 263) (62, 58, 341, 265) 44199
(21, 25, 320, 231) (21, 24, 288, 234) 6508
(12, 24, 32, 231) (60, 134, 43, 207) 125367
(17, 43, 30, 211) (16, 23, 531, 271) 38177
(17, 28, 29, 188) (62, 147, 41, 207) 132444
(18, 67, 29, 188) (20, 15, 185, 329) 47246

( 0,  0,  6) -> ( 0,  4,  6)
(19, 22, 404, 343) (18, 24, 366, 348) 7635
(17, 21, 560, 291) (22, 16, 499, 308) 6274
(17, 22, 548, 287) (41, 17, 29, 336) 14801
(60, 30, 371, 285) (62, 31, 331, 288) 30943
(18, 24, 550, 271) (14, 25, 523, 278) 8731
(45, 55, 534, 267) (20, 35, 517, 278) 24981
(23, 25, 402, 263) (20, 26, 364, 264) 9939
(60, 52, 371, 263) (62, 55, 331, 264) 30324
(21, 25, 320, 231) (20, 21, 279, 236) 8466
